center_mhz,gain_nominal_db,v3_relative_to_28_db,v3_range_db,v3_n,v4l_relative_to_28_db,v4l_range_db,v4l_n,v4l_minus_v3_db,v4l_minus_v3_range_db,v3_relative_to_0_db,v4l_relative_to_0_db
1090.0,0.0,-34.579558603419585,0.1263973970556549,12,-31.977901306957833,0.12182754262924789,9,-2.2161075840364757,0.16088581737088248,0.0,0.0
1090.0,0.9,-31.391792882754746,0.11859293522102021,15,-30.169205106579895,0.21472586512780012,12,-3.5846719950834056,0.23813388553688952,3.1877657206648387,1.8086962003779377
1090.0,1.4,-30.077867733624668,0.1438153131477229,15,-28.831540685203517,0.13011580320510774,12,-3.5671644925135086,0.13299349811198624,4.501690869794917,3.146360621754315
1090.0,2.7,-26.1904901762754,0.056523276926732535,15,-26.863231245361032,0.10490327368313501,12,-5.480720715043499,0.12121717180374958,8.389068427144185,5.114670061596801
1090.0,3.7,-24.30687424506541,0.08683949101900268,15,-24.99569941205819,0.10289084133977511,15,-5.494312606598521,0.06894996278027321,10.272684358354176,6.982201894899642
1090.0,7.7,-20.67935470075679,0.07206681755424782,15,-23.241079226143448,0.10584912704429073,15,-7.3672119649924035,0.1068121191171727,13.900203902662795,8.736822080814385
1090.0,8.7,-19.00175403070133,0.09111510916379473,15,-21.565008747045223,0.12299845067032322,15,-7.3687421559496284,0.1041085143159961,15.577804572718254,10.41289255991261
1090.0,12.5,-16.222866680694754,0.09338945508158147,15,-18.32227502714001,0.083200760100965,15,-6.904895786050998,0.08374395947645397,18.35669192272483,13.655626279817824
1090.0,14.4,-14.79973777865404,0.10136655006994388,15,-16.891002735889696,0.07740239082268374,15,-6.896752396841402,0.10725149326735561,19.779820824765544,15.086898571068136
1090.0,15.7,-13.13680138403506,0.08106086240014676,15,-13.256192821423435,0.0486014356865212,15,-4.924878876994114,0.07688380679031681,21.442757219384525,18.7217084855344
1090.0,16.6,-11.752906561477099,0.09111537359846267,15,-11.863452188155616,0.032145460779354096,15,-4.9160330662842595,0.10309713216989635,22.826652041942488,20.114449118802217
1090.0,19.7,-8.888700490358088,0.059649574333047184,15,-7.203403223015475,0.03879736058329186,15,-3.1201901722631296,0.06939451120970475,25.690858113061495,24.77449808394236
1090.0,20.7,-7.433009768057923,0.05129169851180393,15,-5.731434114247787,0.04362951817656224,15,-3.103911785795606,0.053073626577393895,27.146548835361664,26.246467192710046
1090.0,22.9,-4.54307333072013,0.03015841421455967,15,-3.8290499391983457,0.027877777167685025,15,-4.091464048083958,0.024327684623884238,30.036485272699455,28.148851367759487
1090.0,25.4,-3.0911735572693457,0.03675278964656492,15,-2.3608354860260077,0.02559159051130422,15,-4.075149368362403,0.030246010781034727,31.48838504615024,29.617065820931824
1090.0,28.0,0.0,0.0,24,0.0,0.0,24,-4.7893062378435465,0.1272431859006531,34.579558603419585,31.977901306957833
1090.0,29.7,1.4269911223967517,0.0789465206092217,9,1.4508719570359219,0.13816466237866365,9,-4.738456733600717,0.07116613194100552,36.006549725816335,33.428773263993754
1090.0,32.8,3.277092596666963,0.07793795409125437,9,3.6404082983230186,0.10059042786514283,9,-4.399021866583831,0.04473081601516782,37.856651200086546,35.61830960528085
1090.0,33.8,4.733917779927789,0.09989608459678578,9,5.108415050703204,0.05091816894388046,9,-4.387840297464472,0.09094211884380954,39.31347638334737,37.08631635766103
1090.0,36.4,5.18461164848995,0.06445929003664475,9,7.071146502957741,0.1108293674364802,9,-2.875802713772096,0.08650133128294968,39.76417025190953,39.04904780991557
1090.0,37.2,6.670862485635813,0.07658037124557637,9,8.550537186319131,0.10019606203324116,9,-2.882662867556568,0.04041640042452599,41.2504210890554,40.528438493276965
1090.0,38.6,7.20441836981591,0.06386624028856147,9,9.495133010381457,0.07850387980943907,9,-2.4716229276743413,0.05799882293440106,41.7839769732355,41.47303431733929
1090.0,40.2,8.546904613443086,0.10630883294099647,9,10.862191167877974,0.09479854637215013,9,-2.447051013804999,0.08105987322403507,43.126463216862675,42.84009247483581
1090.0,42.1,9.272057911657917,0.08097906649425113,9,12.634707651989768,0.08339872355151812,9,-1.3996878279080367,0.06073789507696148,43.8516165150775,44.612608958947604
1090.0,43.4,10.548542472932168,0.06267517291414038,9,13.928619210307389,0.06746828685914252,9,-1.3822608308646673,0.05839132046469331,45.128101076351754,45.90652051726522
1090.0,43.9,11.256190303396911,0.0874733243522563,9,14.367443804378897,0.07558443620132493,9,-1.6510840672579006,0.034211048167367863,45.8357489068165,46.34534511133673
1090.0,44.5,11.26238202294116,0.08963417600596912,9,14.371270337081427,0.0684048669990105,9,-1.6534492540996217,0.03730359371055414,45.841940626360746,46.34917164403926
1090.0,48.0,12.901038000554873,0.10404881249035114,9,16.835992895272483,0.0896282211596855,9,-0.827382673522279,0.0545522797388962,47.48059660397446,48.813894202230315
1090.0,49.6,12.872448769900084,0.12259576648133219,9,17.957798583340615,0.1034818871150236,9,0.32301224520064487,0.018715008888509743,47.45200737331967,49.93569989029845
